Date,High,SentenceScore
12/20/2021,51814.02734,0.005001
12/27/2021,51956.32813,0.00471
1/3/2022,47510.72656,0.010417
1/10/2022,44278.42188,0.030845
1/17/2022,43413.02344,0.005165
1/24/2022,38825.41016,0.043313
1/31/2022,42500.78516,0.002309
2/7/2022,45661.17188,0.035937
2/14/2022,44667.21875,0.033359
2/21/2022,40005.34766,0.025161
2/28/2022,45077.57813,0.007621
3/7/2022,42465.67188,0.01842
3/14/2022,42316.55469,0.226139
3/21/2022,46827.54688,0.226139
3/28/2022,48086.83594,0.055875
4/4/2022,47106.14063,0.02565
4/11/2022,42424.58984,0.010195
4/18/2022,42893.58203,0.007854
4/25/2022,40713.89063,0.010865
5/2/2022,39902.94922,0.008373
5/9/2022,34222.07422,0.013405
5/16/2022,31305.3418,0.030929
5/23/2022,30590.58594,0.025161
5/30/2022,32249.86328,0.032719
6/6/2022,31693.29102,0.073545
6/13/2022,26795.58984,0.04368
6/20/2022,21783.72461,0.033246
6/27/2022,21478.08984,0.02081
7/4/2022,22314.94141,0.045977
7/11/2022,21600.64063,0.038145
7/18/2022,24196.81836,0.02039
7/25/2022,24572.58008,0.017899
8/1/2022,23578.65039,0.068507
8/8/2022,24974.91406,0.015402
8/15/2022,25135.58984,0.032834
8/22/2022,21804.9082,0.017473
8/29/2022,20542.64453,0.04578
9/5/2022,21770.55273,0.215917
9/12/2022,22673.82031,0.005382
9/19/2022,19674.63086,0.042952
9/26/2022,20338.45508,0.025311
10/3/2022,20408.39258,0.015913
10/10/2022,19889.14648,0.015774
10/17/2022,19666.99414,0.03594
10/24/2022,20988.39453,0.015743
10/31/2022,21446.88672,0.055402
11/7/2022,21053.24609,0.025161
11/14/2022,17109.32422,0.017662
11/21/2022,16771.47461,0.035908
11/28/2022,17197.49805,0.013512
